CATEGORY,CLEANED,GENDER
History_of_women_in_Belgium,history of women in belgium,W
History_of_women_in_Denmark,history of women in denmark,W
History_of_women_in_Romania,history of women in romania,W
2020s_in_Italian_women's_sport,2020s in italian women 's sport,W
2020_in_Scottish_women's_sport,2020 in scottish women 's sport,W
Female_percussionists_by_nationality,female percussionists by nationality,W
2024_in_women's_sport,2024 in women 's sport,W
2024_in_women's_history,2024 in women 's history,W
Lists_of_women's_association_football_players_by_national_team,lists of women 's association football players by national team,W
Senegalese_women_in_business,senegalese women in business,W
Cultural_depictions_of_Colombian_women,cultural depictions of colombian women,W
American_women_diplomats,american women diplomats,W
Women_ambassadors,women ambassadors,W
2020s_in_women's_history,2020s in women 's history,W
Tennessee_Wesleyan_Bulldogs_men's_basketball,tennessee wesleyan bulldogs men 's basketball,M
Women's_field_hockey_in_Singapore,women 's field hockey in singapore,W
2020s_in_South_Korean_women's_sport,2020s in south korean women 's sport,W
American_women_screenwriters,american women screenwriters,W
European_Men's_and_Women's_Team_Badminton_Championships,european men 's and women 's team badminton championships,A
Men's_national_water_polo_team_navigational_boxes,men 's national water polo team navigational boxes,M
Women's_national_water_polo_team_navigational_boxes,women 's national water polo team navigational boxes,W
16th-century_American_women,16th century american women,W
Club_Universidad_Nacional_(women),club universidad nacional ( women ) ,W
FINA_Women's_Water_Polo_World_Cup,fina women 's water polo world cup,W
FINA_Women's_Water_Polo_World_League,fina women 's water polo world league,W
Women's_LEN_Super_Cup,women 's len super cup,W
2020_NCAA_Division_I_men's_soccer_season,2020 ncaa division i men 's soccer season,M
Men's_national_water_polo_team_convenience_templates_by_country,men 's national water polo team convenience templates by country,M
Women's_national_water_polo_team_convenience_templates_by_country,women 's national water polo team convenience templates by country,W
Men_podcasters,men podcasters,M
Women_podcasters,women podcasters,W
2021_in_women's_volleyball,2021 in women 's volleyball,W
Asian_Women's_Volleyball_Championship,asian women 's volleyball championship,W
Cruz_Azul_(women),cruz azul ( women ) ,W
Asian_Men's_Volleyball_Championship,asian men 's volleyball championship,M
2021_in_men's_sport,2021 in men 's sport,M
2020_in_Belgian_women's_sport,2020 in belgian women 's sport,W
Women's_football_in_Uganda,women 's football in uganda,W
Uganda_women's_national_football_team,uganda women 's national football team,W
Ugandan_women's_footballers,ugandan women 's footballers,W
Women's_footballers_in_India,women 's footballers in india,W
Women's_futsal_in_the_Dominican_Republic,women 's futsal in the dominican republic,W
Expatriate_women's_soccer_players_in_the_United_States,expatriate women 's soccer players in the united states,W
Women's_football_in_Puerto_Rico,women 's football in puerto rico,W
Olympiacos_Women's_Water_Polo_Team_templates,olympiacos women 's water polo team templates,W
Women_Marxists,women marxists,W
2020_in_Welsh_women's_sport,2020 in welsh women 's sport,W
Japanese_male_voice_actors_by_prefecture,japanese male voice actors by prefecture,M
Japanese_male_voice_actors,japanese male voice actors,M
Male_actors_from_Osaka,male actors from osaka,M
Male_voice_actors_from_Osaka_Prefecture,male voice actors from osaka prefecture,M
Male_actors_from_Tokyo,male actors from tokyo,M
Male_voice_actors_from_Tokyo_Metropolis,male voice actors from tokyo metropolis,M
Male_voice_actors_from_Tokyo,male voice actors from tokyo,M
Male_voice_actors_from_Saitama_Prefecture,male voice actors from saitama prefecture,M
Male_voice_actors_from_Kanagawa_Prefecture,male voice actors from kanagawa prefecture,M
Male_voice_actors_from_Aichi_Prefecture,male voice actors from aichi prefecture,M
Male_voice_actors_from_Hokkaido,male voice actors from hokkaido,M
Male_voice_actors_from_Hyōgo_Prefecture,male voice actors from hyōgo prefecture,M
Male_actors_from_Kyoto,male actors from kyoto,M
Male_voice_actors_from_Kyoto_Prefecture,male voice actors from kyoto prefecture,M
Male_voice_actors_from_Miyagi_Prefecture,male voice actors from miyagi prefecture,M
All-female_military_units_and_formations,all female military units and formations,W
Male_voice_actors_from_Hiroshima_Prefecture,male voice actors from hiroshima prefecture,M
Male_actors_from_Gifu_Prefecture,male actors from gifu prefecture,M
2020s_in_Belgian_women's_sport,2020s in belgian women 's sport,W
Malawian_female_martial_artists,malawian female martial artists,W
MIT_Engineers_men's_ice_hockey,mit engineers men 's ice hockey,M
Haiti_women's_national_football_team_navigational_boxes,haiti women 's national football team navigational boxes,W
Haiti_women's_national_football_team,haiti women 's national football team,W
Women's_national_sports_teams_of_Haiti,women 's national sports teams of haiti,W
Women's_sports_teams_in_Haiti,women 's sports teams in haiti,W
Women's_organizations_based_in_Haiti,women 's organizations based in haiti,W
2021–22_in_women's_ice_hockey,2021 22 in women 's ice hockey,W
Women's_events_at_the_2022_Winter_Olympics,women 's events at the 2022 winter olympics,W
Adrian_Bulldogs_men's_soccer,adrian bulldogs men 's soccer,M
Calvin_Knights_men's_soccer,calvin knights men 's soccer,M
Adrian_Bulldogs_women's_ice_hockey,adrian bulldogs women 's ice hockey,W
Women's_futsal_in_Trinidad_and_Tobago,women 's futsal in trinidad and tobago,W
Scottish_Women's_Football_Championship,scottish women 's football championship,W
Angelo_State_Rams_women's_soccer,angelo state rams women 's soccer,W
Auburn_Montgomery_Warhawks_women's_tennis,auburn montgomery warhawks women 's tennis,W
Baker_Wildcats_men's_soccer,baker wildcats men 's soccer,M
Men_in_radio,men in radio,M
History_of_women_in_Singapore,history of women in singapore,W
Mount_St._Mary's_Mountaineers_women's_basketball,mount st mary 's mountaineers women 's basketball,W
2020–21_in_women's_ice_hockey,2020 21 in women 's ice hockey,W
Female_touring_cyclists,female touring cyclists,W
2020_in_Indian_women's_sport,2020 in indian women 's sport,W
2020–21_in_German_women's_football,2020 21 in german women 's football,W
2021_in_German_women's_sport,2021 in german women 's sport,W
Norwegian_Association_for_Women's_Rights,norwegian association for women 's rights,W
Kosovan_male_actors_by_medium,kosovan male actors by medium,M
Kosovan_male_actors,kosovan male actors,M
Male_mountain_runners,male mountain runners,M
Female_mountain_runners,female mountain runners,W
Women's_rights_in_Venezuela,women 's rights in venezuela,W
Erskine_Flying_Fleet_men's_basketball,erskine flying fleet men 's basketball,M
2020–21_NCAA_Division_I_men's_basketball_season,2020 21 ncaa division i men 's basketball season,M
2022_in_American_women's_basketball,2022 in american women 's basketball,W
2022_in_American_women's_sports,2022 in american women 's sports,W
2022_in_women's_basketball,2022 in women 's basketball,W
Southeast_Missouri_State_Redhawks_women's_basketball,southeast missouri state redhawks women 's basketball,W
2008_in_New_Zealand_women's_sport,2008 in new zealand women 's sport,W
2009_in_New_Zealand_women's_sport,2009 in new zealand women 's sport,W
2010_in_New_Zealand_women's_sport,2010 in new zealand women 's sport,W
2011_in_New_Zealand_women's_sport,2011 in new zealand women 's sport,W
2012_in_New_Zealand_women's_sport,2012 in new zealand women 's sport,W
2013_in_New_Zealand_women's_sport,2013 in new zealand women 's sport,W
2014_in_New_Zealand_women's_sport,2014 in new zealand women 's sport,W
2015_in_New_Zealand_women's_sport,2015 in new zealand women 's sport,W
2016_in_New_Zealand_women's_sport,2016 in new zealand women 's sport,W
2017_in_New_Zealand_women's_sport,2017 in new zealand women 's sport,W
2018_in_New_Zealand_women's_sport,2018 in new zealand women 's sport,W
2019_in_New_Zealand_women's_sport,2019 in new zealand women 's sport,W
Male_lifesaving_athletes_by_nationality,male lifesaving athletes by nationality,M
Male_lifesaving_athletes,male lifesaving athletes,M
Canadian_male_artists,canadian male artists,M
Mercer_Bears_men's_soccer,mercer bears men 's soccer,M
American_women_in_World_War_I,american women in world war i,W
South_Korean_female_musicians,south korean female musicians,W
Yemeni_male_athletes,yemeni male athletes,M
Brown_Bears_women's_soccer,brown bears women 's soccer,W
Maltese_female_long-distance_runners,maltese female long distance runners,W
Nepalese_male_runners,nepalese male runners,M
Senegalese_women_scientists,senegalese women scientists,W
South_Sudanese_male_runners,south sudanese male runners,M
Bangladeshi_women_scientists,bangladeshi women scientists,W
Uruguayan_female_runners,uruguayan female runners,W
American_female_cross_country_runners,american female cross country runners,W
United_States_Virgin_Islands_female_runners,united states virgin islands female runners,W
Venezuelan_female_runners,venezuelan female runners,W
Zimbabwean_female_runners,zimbabwean female runners,W
IAAF_World_Women's_Road_Race_Championships,iaaf world women 's road race championships,W
Female_hip_hop_singers,female hip hop singers,W
Maltese_male_athletes,maltese male athletes,M
National_Council_of_Women_of_Great_Britain_members,national council of women of great britain members,W
NCAA_Women's_Basketball_All-Americans,ncaa women 's basketball all americans,W
American_women_scientists_by_century,american women scientists by century,W
American_women_physicians_by_century,american women physicians by century,W
21st-century_women_physicians,21st century women physicians,W
19th-century_women_physicians,19th century women physicians,W
Australian_women_diplomats,australian women diplomats,W
Women's_rights_in_Portugal,women 's rights in portugal,W
Male_bodybuilders,male bodybuilders,M
Women's_field_hockey_in_Slovenia,women 's field hockey in slovenia,W
Tarleton_State_Texans_men's_basketball,tarleton state texans men 's basketball,M
Men's_national_water_polo_teams,men 's national water polo teams,M
Women's_national_water_polo_teams,women 's national water polo teams,W
Irish_female_archers,irish female archers,W
Spanish_women_lawyers,spanish women lawyers,W
Finnish_women_diplomats,finnish women diplomats,W
Turkish_women_diplomats,turkish women diplomats,W
Trinidad_and_Tobago_women's_national_football_team_navigational_boxes,trinidad and tobago women 's national football team navigational boxes,W
Guatemala_women's_national_football_team_navigational_boxes,guatemala women 's national football team navigational boxes,W
Guatemala_women's_national_football_team,guatemala women 's national football team,W
Women's_football_in_Guatemala,women 's football in guatemala,W
Women's_national_sports_teams_of_Guatemala,women 's national sports teams of guatemala,W
Women's_sports_teams_in_Guatemala,women 's sports teams in guatemala,W
Women's_organizations_based_in_Guatemala,women 's organizations based in guatemala,W
UC_Riverside_Highlanders_women's_basketball,uc riverside highlanders women 's basketball,W
The_Citadel_Bulldogs_women's_soccer,the citadel bulldogs women 's soccer,W
2005_in_Welsh_women's_sport,2005 in welsh women 's sport,W
2006_in_Welsh_women's_sport,2006 in welsh women 's sport,W
2007_in_Welsh_women's_sport,2007 in welsh women 's sport,W
German_women_biologists,german women biologists,W
German_women_chemists,german women chemists,W
2008_in_Welsh_women's_sport,2008 in welsh women 's sport,W
British_women_diplomats,british women diplomats,W
Norwegian_women_diplomats,norwegian women diplomats,W
Israeli_women_diplomats,israeli women diplomats,W
Canadian_women_diplomats,canadian women diplomats,W
Ethiopian_female_martial_artists,ethiopian female martial artists,W
Bellarmine_Knights_men's_soccer,bellarmine knights men 's soccer,M
Binghamton_Bearcats_men's_soccer,binghamton bearcats men 's soccer,M
Bryant_Bulldogs_men's_soccer,bryant bulldogs men 's soccer,M
Cal_State_Northridge_Matadors_men's_soccer,cal state northridge matadors men 's soccer,M
Canisius_Golden_Griffins_men's_soccer,canisius golden griffins men 's soccer,M
Dixie_State_Trailblazers_men's_soccer,dixie state trailblazers men 's soccer,M
Drake_Bulldogs_men's_soccer,drake bulldogs men 's soccer,M
Gardner–Webb_Runnin'_Bulldogs_men's_soccer,gardner webb runnin ' bulldogs men 's soccer,M
Houston_Baptist_Huskies_men's_soccer,houston baptist huskies men 's soccer,M
IUPUI_Jaguars_men's_soccer,iupui jaguars men 's soccer,M
Kansas_City_Roos_men's_soccer,kansas city roos men 's soccer,M
2011_in_Singaporean_women's_sport,2011 in singaporean women 's sport,W
Lebanon_women's_international_footballers,lebanon women 's international footballers,W
American_women_historians,american women historians,W
Lafayette_Leopards_men's_soccer,lafayette leopards men 's soccer,M
Merrimack_Warriors_men's_soccer,merrimack warriors men 's soccer,M
Oakland_Golden_Grizzlies_men's_soccer,oakland golden grizzlies men 's soccer,M
Presbyterian_Blue_Hose_men's_soccer,presbyterian blue hose men 's soccer,M
Robert_Morris_Colonials_men's_soccer,robert morris colonials men 's soccer,M
Sacramento_State_Hornets_men's_soccer,sacramento state hornets men 's soccer,M
Sacred_Heart_Pioneers_men's_soccer,sacred heart pioneers men 's soccer,M
UNC_Asheville_Bulldogs_men's_soccer,unc asheville bulldogs men 's soccer,M
Utah_Valley_Wolverines_men's_soccer,utah valley wolverines men 's soccer,M
VMI_Keydets_men's_soccer,vmi keydets men 's soccer,M
Tulane_Green_Wave_women's_golf,tulane green wave women 's golf,W
South_Florida_Bulls_women's_golf,south florida bulls women 's golf,W
South_Florida_Bulls_men's_golf,south florida bulls men 's golf,M
Nova_Southeastern_Sharks_men's_golf,nova southeastern sharks men 's golf,M
VCU_Rams_men's_golf,vcu rams men 's golf,M
Women's_volleyball_in_Armenia,women 's volleyball in armenia,W
Buckeye_Athletic_Association_men's_basketball_seasons,buckeye athletic association men 's basketball seasons,M
Buckeye_Athletic_Association_men's_basketball,buckeye athletic association men 's basketball,M
Male_scientists_by_century,male scientists by century,M
Serbian_male_stage_actors,serbian male stage actors,M
Cumberland_Phoenix_men's_soccer,cumberland phoenix men 's soccer,M
20th-century_women_members_of_the_Oireachtas,20th century women members of the oireachtas,W
Women_Teachtaí_Dála,women teachtaí dála,W
21st-century_women_members_of_the_Oireachtas,21st century women members of the oireachtas,W
International_women's_field_hockey_competitions_hosted_by_Belgium,international women 's field hockey competitions hosted by belgium,W
Metropolitan_Collegiate_Conference_men's_basketball_seasons,metropolitan collegiate conference men 's basketball seasons,M
Metropolitan_Collegiate_Conference_men's_basketball,metropolitan collegiate conference men 's basketball,M
1994_Men's_Hockey_World_Cup,1994 men 's hockey world cup,M
2019–20_Women's_Big_Bash_League_season,2019 20 women 's big bash league season,W
Morningside_Mustangs_men's_basketball,morningside mustangs men 's basketball,M
2020–21_in_American_women's_college_basketball,2020 21 in american women 's college basketball,W
2020–21_NCAA_Division_I_women's_basketball_season,2020 21 ncaa division i women 's basketball season,W
Anderson_Trojans_men's_basketball,anderson trojans men 's basketball,M
Women_poets_of_medieval_Islam,women poets of medieval islam,W
Women_of_the_Umayyad_Caliphate,women of the umayyad caliphate,W
Indiana_Wesleyan_Wildcats_men's_basketball,indiana wesleyan wildcats men 's basketball,M
WAFF_Women's_Championship_tournaments,waff women 's championship tournaments,W
WAFF_Women's_Championship,waff women 's championship,W
Women_chefs,women chefs,W
Male_chefs,male chefs,M
Netherlands_men's_national_ice_hockey_team,netherlands men 's national ice hockey team,M
Latvia_men's_national_ice_hockey_team,latvia men 's national ice hockey team,M
Women's_history_by_century,women 's history by century,W
21st_century_in_women's_history,21st century in women 's history,W
Women's_history_by_decade,women 's history by decade,W
19th_century_in_women's_history,19th century in women 's history,W
20th_century_in_women's_history,20th century in women 's history,W
Cultural_depictions_of_Canadian_women,cultural depictions of canadian women,W
Kazakhstan_men's_national_ice_hockey_team,kazakhstan men 's national ice hockey team,M
21st-century_I-Kiribati_women,21st century i kiribati women,W
Belarus_men's_national_ice_hockey_team,belarus men 's national ice hockey team,M
20th-century_I-Kiribati_women,20th century i kiribati women,W
20th-century_women_lawyers,20th century women lawyers,W
I-Kiribati_women_lawyers,i kiribati women lawyers,W
21st-century_women_lawyers,21st century women lawyers,W
Women_lawyers_by_century,women lawyers by century,W
Denmark_men's_national_ice_hockey_team,denmark men 's national ice hockey team,M
I-Kiribati_women_by_century,i kiribati women by century,W
Women_photographers_by_century,women photographers by century,W
Norwegian_women_artists_by_century,norwegian women artists by century,W
Danish_women_artists_by_century,danish women artists by century,W
Slovenia_men's_national_ice_hockey_team,slovenia men 's national ice hockey team,M
Ukraine_men's_national_ice_hockey_team,ukraine men 's national ice hockey team,M
Czechoslovakia_men's_national_ice_hockey_team,czechoslovakia men 's national ice hockey team,M
Turkmenistan_men's_national_ice_hockey_team,turkmenistan men 's national ice hockey team,M
2020_in_New_Zealand_women's_sport,2020 in new zealand women 's sport,W
Antigua_and_Barbuda_women's_footballers,antigua and barbuda women 's footballers,W
Antigua_and_Barbuda_women's_national_football_team,antigua and barbuda women 's national football team,W
Women's_football_in_Antigua_and_Barbuda,women 's football in antigua and barbuda,W
Women's_national_sports_teams_of_Antigua_and_Barbuda,women 's national sports teams of antigua and barbuda,W
Palestinian_women's_footballers,palestinian women 's footballers,W
Samoa_women's_national_football_team,samoa women 's national football team,W
Samoan_women's_footballers,samoan women 's footballers,W
Uzbekistani_women's_footballers,uzbekistani women 's footballers,W
Women's_sports_leagues_in_Taiwan,women 's sports leagues in taiwan,W
Lists_of_Roman_women,lists of roman women,W
Women_members_of_Seanad_Éireann,women members of seanad éireann,W
20th-century_women_Members_of_the_European_Parliament,20th century women members of the european parliament,W
Women_MEPs_for_the_Republic_of_Ireland,women meps for the republic of ireland,W
British_women_short_story_writers,british women short story writers,W
Macau_female_martial_artists,macau female martial artists,W
Female_Muay_Thai_practitioners,female muay thai practitioners,W
21st-century_women_politicians,21st century women politicians,W
20th-century_Luxembourgian_women_politicians,20th century luxembourgian women politicians,W
Women_MEPs_for_Luxembourg,women meps for luxembourg,W
21st-century_Luxembourgian_women_politicians,21st century luxembourgian women politicians,W
20th-century_Austrian_women_politicians,20th century austrian women politicians,W
Women_MEPs_for_Austria,women meps for austria,W
21st-century_Austrian_women_politicians,21st century austrian women politicians,W
Field_hockey_at_the_2004_Summer_Olympics_–_Men's_qualification,field hockey at the 2004 summer olympics men 's qualification,M
20th-century_Belgian_women_politicians,20th century belgian women politicians,W
Women_MEPs_for_Belgium,women meps for belgium,W
21st-century_Belgian_women_politicians,21st century belgian women politicians,W
20th-century_Danish_women_politicians,20th century danish women politicians,W
Women_MEPs_for_Denmark,women meps for denmark,W
21st-century_Danish_women_politicians,21st century danish women politicians,W
20th-century_Finnish_women_politicians,20th century finnish women politicians,W
Women_MEPs_for_Finland,women meps for finland,W
21st-century_Finnish_women_politicians,21st century finnish women politicians,W
20th-century_French_women_politicians,20th century french women politicians,W
Women_MEPs_for_France,women meps for france,W
21st-century_French_women_politicians,21st century french women politicians,W
Women_MEPs_for_Germany,women meps for germany,W
20th-century_Greek_women_politicians,20th century greek women politicians,W
Women_MEPs_for_Greece,women meps for greece,W
21st-century_Greek_women_politicians,21st century greek women politicians,W
20th-century_Italian_women_politicians,20th century italian women politicians,W
Women_MEPs_for_Italy,women meps for italy,W
21st-century_Italian_women_politicians,21st century italian women politicians,W
20th-century_Dutch_women_politicians,20th century dutch women politicians,W
Women_MEPs_for_the_Netherlands,women meps for the netherlands,W
21st-century_Dutch_women_politicians,21st century dutch women politicians,W
20th-century_Portuguese_women_politicians,20th century portuguese women politicians,W
Women_MEPs_for_Portugal,women meps for portugal,W
21st-century_Portuguese_women_politicians,21st century portuguese women politicians,W
20th-century_Spanish_women_politicians,20th century spanish women politicians,W
Women_MEPs_for_Spain,women meps for spain,W
21st-century_Spanish_women_politicians,21st century spanish women politicians,W
20th-century_Swedish_women_politicians,20th century swedish women politicians,W
Women_MEPs_for_Sweden,women meps for sweden,W
21st-century_Swedish_women_politicians,21st century swedish women politicians,W
20th-century_Scottish_women_politicians,20th century scottish women politicians,W
20th-century_women_MEPs_for_the_United_Kingdom,20th century women meps for the united kingdom,W
Women_MEPs_for_Scotland,women meps for scotland,W
21st-century_Scottish_women_politicians,21st century scottish women politicians,W
21st-century_women_MEPs_for_the_United_Kingdom,21st century women meps for the united kingdom,W
20th-century_Welsh_women_politicians,20th century welsh women politicians,W
Women_MEPs_for_Welsh_constituencies,women meps for welsh constituencies,W
21st-century_Welsh_women_politicians,21st century welsh women politicians,W
Women's_National_Basketball_Association_media,women 's national basketball association media,W
Women_MEPs_for_Northern_Ireland,women meps for northern ireland,W
20th-century_English_women_politicians,20th century english women politicians,W
Women_MEPs_for_England,women meps for england,W
21st-century_English_women_politicians,21st century english women politicians,W
Women_organists,women organists,W
French_women_lawyers,french women lawyers,W
19th-century_women_lawyers,19th century women lawyers,W
Panama_women's_national_football_team,panama women 's national football team,W
15th-century_American_women,15th century american women,W
2019_in_Israeli_women's_sport,2019 in israeli women 's sport,W
2020_in_Israeli_women's_sport,2020 in israeli women 's sport,W
2020s_in_Israeli_women's_sport,2020s in israeli women 's sport,W
Saint_Vincent_and_the_Grenadines_male_actors,saint vincent and the grenadines male actors,M
2020_European_Men's_Handball_Championship,2020 european men 's handball championship,M
Cal_Poly_Mustangs_women's_basketball,cal poly mustangs women 's basketball,W
Fitchburg_State_Falcons_men's_basketball,fitchburg state falcons men 's basketball,M
NCAA_Division_I_Men's_Ice_Hockey_Tournament,ncaa division i men 's ice hockey tournament,M
2020–21_in_women's_basketball_leagues,2020 21 in women 's basketball leagues,W
2001_in_women's_field_hockey,2001 in women 's field hockey,W
1996–97_NCAA_Division_I_men's_ice_hockey_season,1996 97 ncaa division i men 's ice hockey season,M
Iona_Gaels_women's_basketball,iona gaels women 's basketball,W
Women's_footballers_in_Nigeria,women 's footballers in nigeria,W
Sacred_Heart_Pioneers_women's_basketball,sacred heart pioneers women 's basketball,W
1993–94_in_European_women's_basketball,1993 94 in european women 's basketball,W
1993–94_in_women's_basketball_leagues,1993 94 in women 's basketball leagues,W
1995–96_in_women's_basketball_leagues,1995 96 in women 's basketball leagues,W
Japanese_women_business_executives,japanese women business executives,W
Japanese_women_in_business,japanese women in business,W
River_States_Conference_men's_basketball_seasons,river states conference men 's basketball seasons,M
River_States_Conference_men's_basketball,river states conference men 's basketball,M
New_Zealand_women_lawyers,new zealand women lawyers,W
Women's_footballers_in_Lebanon_by_club,women 's footballers in lebanon by club,W
Papua_New_Guinea_women's_national_football_team,papua new guinea women 's national football team,W
Papua_New_Guinean_women's_footballers,papua new guinean women 's footballers,W
3rd-century_Egyptian_women,3rd century egyptian women,W
American_female_divers,american female divers,W
2019_in_Icelandic_women's_sport,2019 in icelandic women 's sport,W
AFC_Women's_Asian_Cup_squad_navigational_boxes_by_competition,afc women 's asian cup squad navigational boxes by competition,W
AFC_Women's_Asian_Cup_squad_navigational_boxes,afc women 's asian cup squad navigational boxes,W
Philippines_women's_national_football_team_navigational_boxes,philippines women 's national football team navigational boxes,W
2014_AFC_Women's_Asian_Cup,2014 afc women 's asian cup,W
2010_AFC_Women's_Asian_Cup,2010 afc women 's asian cup,W
2008_AFC_Women's_Asian_Cup,2008 afc women 's asian cup,W
International_women's_association_football_competitions_hosted_by_Vietnam,international women 's association football competitions hosted by vietnam,W
Women's_football_competitions_in_Vietnam,women 's football competitions in vietnam,W
2006_AFC_Women's_Asian_Cup,2006 afc women 's asian cup,W
Myanmar_women's_national_football_team_navigational_boxes,myanmar women 's national football team navigational boxes,W
Women's_national_sports_teams_of_Myanmar,women 's national sports teams of myanmar,W
Barry_Buccaneers_men's_basketball,barry buccaneers men 's basketball,M
2021_in_Australian_women's_sport,2021 in australian women 's sport,W
Ukrainian_male_artists,ukrainian male artists,M
Turkish_male_artists,turkish male artists,M
South_African_female_swimmers,south african female swimmers,W
Hungarian_female_swimmers,hungarian female swimmers,W
Austrian_female_swimmers,austrian female swimmers,W
Swedish_female_swimmers,swedish female swimmers,W
Russian_female_swimmers,russian female swimmers,W
Danish_female_swimmers,danish female swimmers,W
Japanese_female_swimmers,japanese female swimmers,W
Swiss_female_swimmers,swiss female swimmers,W
Croatian_female_swimmers,croatian female swimmers,W
East_German_female_swimmers,east german female swimmers,W
German_female_freestyle_swimmers,german female freestyle swimmers,W
German_female_butterfly_swimmers,german female butterfly swimmers,W
German_female_medley_swimmers,german female medley swimmers,W
Italian_female_swimmers,italian female swimmers,W
Turkish_female_swimmers,turkish female swimmers,W
Estonian_female_swimmers,estonian female swimmers,W
Costa_Rican_female_swimmers,costa rican female swimmers,W
Showa_Women's_University,showa women 's university,W
Ukrainian_female_swimmers,ukrainian female swimmers,W
Filipino_female_swimmers,filipino female swimmers,W
German_female_breaststroke_swimmers,german female breaststroke swimmers,W
Polish_female_swimmers,polish female swimmers,W
Zimbabwean_female_swimmers,zimbabwean female swimmers,W
Argentine_female_swimmers,argentine female swimmers,W
Slovenian_female_swimmers,slovenian female swimmers,W
Icelandic_female_swimmers,icelandic female swimmers,W
Greek_female_swimmers,greek female swimmers,W
Israeli_female_swimmers,israeli female swimmers,W
Czech_female_swimmers,czech female swimmers,W
Bulgarian_female_swimmers,bulgarian female swimmers,W
Guamanian_women's_footballers,guamanian women 's footballers,W
Maltese_male_martial_artists,maltese male martial artists,M
Cultural_depictions_of_Filipino_women,cultural depictions of filipino women,W
Women_librarians,women librarians,W
X-Men_(film_series),x men ( film series ) ,M
Cuba_women's_national_football_team_navigational_boxes,cuba women 's national football team navigational boxes,W
Cuba_women's_national_football_team,cuba women 's national football team,W
Women's_football_in_Cuba,women 's football in cuba,W
Women's_football_competitions_in_Denmark,women 's football competitions in denmark,W
Cypriot_female_martial_artists,cypriot female martial artists,W
Greenlandic_Men's_Handball_Championship,greenlandic men 's handball championship,M
Greenlandic_Women's_Handball_Championship,greenlandic women 's handball championship,W
Female_pirates,female pirates,W
Fictional_female_criminals,fictional female criminals,W
2020s_in_Argentine_women's_sport,2020s in argentine women 's sport,W
Sculptures_of_men_in_Ireland,sculptures of men in ireland,M
Jordan_women's_national_football_team_navigational_boxes,jordan women 's national football team navigational boxes,W
2022_FIFA_U-20_Women's_World_Cup,2022 fifa u 20 women 's world cup,W
Vietnam_women's_national_football_team_navigational_boxes,vietnam women 's national football team navigational boxes,W
Women's_national_sports_teams_of_Vietnam,women 's national sports teams of vietnam,W
2021_in_women's_handball,2021 in women 's handball,W
English_women_in_business,english women in business,W
Cal_State_San_Bernardino_Coyotes_men's_soccer,cal state san bernardino coyotes men 's soccer,M
Women_landowners_by_nationality,women landowners by nationality,W
Iceland_women's_international_footballers,iceland women 's international footballers,W
Women_landowners_by_century,women landowners by century,W
Women's_universities_and_colleges_in_Denmark,women 's universities and colleges in denmark,W
Yale_Bulldogs_women's_tennis,yale bulldogs women 's tennis,W
20th-century_women_landowners,20th century women landowners,W
Danish_women_landowners_by_century,danish women landowners by century,W
19th-century_women_landowners,19th century women landowners,W
18th-century_women_landowners,18th century women landowners,W
17th-century_women_landowners,17th century women landowners,W
16th-century_Danish_women,16th century danish women,W
16th-century_women_landowners,16th century women landowners,W
15th-century_Danish_women,15th century danish women,W
15th-century_women_landowners,15th century women landowners,W
14th-century_Danish_women,14th century danish women,W
14th-century_women_landowners,14th century women landowners,W
13th-century_Danish_women,13th century danish women,W
13th-century_women_landowners,13th century women landowners,W
Danish_women_landowners,danish women landowners,W
Menlo_Oaks_men's_basketball,menlo oaks men 's basketball,M
Cultural_depictions_of_Serbian_women,cultural depictions of serbian women,W
2020_in_Icelandic_women's_sport,2020 in icelandic women 's sport,W
2020s_in_Icelandic_women's_sport,2020s in icelandic women 's sport,W
2021_in_Portuguese_women's_sport,2021 in portuguese women 's sport,W
FIFA_Women's_World_Cup_bids,fifa women 's world cup bids,W
FIFA_Women's_World_Cup_logos,fifa women 's world cup logos,W
2023_FIFA_Women's_World_Cup_bids,2023 fifa women 's world cup bids,W
FIFA_Women's_World_Cup_bid_logos,fifa women 's world cup bid logos,W
Columbus_State_Cougars_men's_basketball,columbus state cougars men 's basketball,M
Columbus_State_Cougars_men's_golf,columbus state cougars men 's golf,M
Clayton_State_Lakers_men's_soccer,clayton state lakers men 's soccer,M
Clayton_State_Lakers_men's_golf,clayton state lakers men 's golf,M
Americas_men's_national_field_hockey_teams,americas men 's national field hockey teams,M
2015_Men's_EuroHockey_Nations_Championship,2015 men 's eurohockey nations championship,M
2013_Men's_EuroHockey_Nations_Championship,2013 men 's eurohockey nations championship,M
South_Korean_female_pop_singers,south korean female pop singers,W
Rwandan_women_writers,rwandan women writers,W
2020–21_Australian_women's_cricket_season,2020 21 australian women 's cricket season,W
Belgian_male_figure_skaters,belgian male figure skaters,M
Male_long-distance_runners_from_Northern_Ireland,male long distance runners from northern ireland,M
Romanian_female_figure_skaters,romanian female figure skaters,W
Swedish_female_figure_skaters,swedish female figure skaters,W
1978–79_NCAA_University_Division_men's_basketball_season,1978 79 ncaa university division men 's basketball season,M
Columbia–Greene_Twins_men's_basketball,columbia greene twins men 's basketball,M
Women_geneticists,women geneticists,W
American_female_judoka,american female judoka,W
American_female_sailors_(sport),american female sailors ( sport ) ,W
American_female_sprinters,american female sprinters,W
