CATEGORY,CLEANED,YEAR_ADDED,GENDER
Women's studies libraries,women 's studies libraries,1988,W
Women bowlers,women bowlers,1988,W
Working women in motion pictures,working women in motion pictures,1988,W
Women fuelwood gatherers,women fuelwood gatherers,1988,W
Women patients,women patients,1988,W
Women dog owners,women dog owners,1988,W
"Women authors, German",german women authors,1988,W
Women socialists,women socialists,1988,W
Blind women,blind women,2001,W
"Women's periodicals, Swiss",swiss women 's periodicals,1988,W
"Women, Kurdish",kurdish women,1988,W
Finnish American women,finnish american women,1988,W
Taoist women,taoist women,1988,W
Women in the Orthodox Eastern Church,women in the orthodox eastern church,1988,W
"Women's encyclopedias and dictionaries, German",german women 's encyclopedias and dictionaries,1988,W
"Women, Fula",fula women,1988,W
Cuban American women,cuban american women,1988,W
Male orgasm,male orgasm,1988,M
Women agricultural extension workers,women agricultural extension workers,1988,W
Women sailors,women sailors,1989,W
"Women poets, Spanish",spanish women poets,1989,W
Abusive men,abusive men,2000,M
Male authors,male authors,1989,M
"Male authors, English",english male authors,1989,M
Women construction workers,women construction workers,1989,W
"Women, Raj Gond",raj gond women,1989,W
Women and animals,women and animals,1989,W
"Women, Lisu",lisu women,1989,W
"Women authors, Spanish",spanish women authors,1989,W
Women political activists,women political activists,2003,W
"Women novelists, Catalan",catalan women novelists,1989,W
Women postal service employees,women postal service employees,1989,W
Women generals,women generals,1989,W
Women's rights and spiritualism,women 's rights and spiritualism,1989,W
Women and spiritualism,women and spiritualism,1989,W
Women mediums,women mediums,1989,W
Women fish trade workers,women fish trade workers,2006,W
Women in radio broadcasting,women in radio broadcasting,1989,W
Women music teachers,women music teachers,1989,W
Women amputees,women amputees,2001,W
Catholic women,catholic women,1989,W
Women canoeists,women canoeists,1989,W
"Women, Chuukese",chuukese women,2003,W
Overweight women,overweight women,2000,W
Women and communism,women and communism,1989,W
Women capitalists and financiers,women capitalists and financiers,1989,W
"Women's periodicals, Bolivian",bolivian women 's periodicals,1989,W
Women in the labor movement,women in the labor movement,1989,W
Pregnancy in women with disabilities,pregnancy in women with disabilities,2001,W
"Women, Grebo",grebo women,1989,W
"Women, Bariba",bariba women,1989,W
"Women, Dogon",dogon women,1989,W
"Women, Lambadi",lambadi women,1989,W
"Women, Mandingo",mandingo women,1989,W
Women-owned landscape architectural firms,women owned landscape architectural firms,1989,W
Strong men in motion pictures,strong men in motion pictures,1989,M
Women college presidents,women college presidents,1989,W
Pacific Islander American women,pacific islander american women,1989,W
"Women, Rodiya",rodiya women,1989,W
"Women, Minangkabau",minangkabau women,1989,W
Women theatrical producers and directors,women theatrical producers and directors,2000,W
"Women's encyclopedias and dictionaries, Korean",korean women 's encyclopedias and dictionaries,1989,W
"Women, White",white women,2004,W
Hawaiian women,hawaiian women,2004,W
Women in the performing arts,women in the performing arts,1989,W
Female livestock,female livestock,1989,W
Women murderers,women murderers,1989,W
"Women authors, African",african women authors,1989,W
Hispanic American men,hispanic american men,1989,M
Japanese American women,japanese american women,1990,W
"Women authors, Bengali",bengali women authors,1990,W
Judo for women,judo for women,1990,W
Women surveyors,women surveyors,2000,W
Men in popular culture,men in popular culture,1990,M
"Women, Karamojong",karamojong women,1990,W
"Women, Kela",kela women,1990,W
Men's dreams,men 's dreams,1990,M
"Women, Māori",māori women,1990,W
Women drug dealers,women drug dealers,2005,W
"Women, Hmong",hmong women,1990,W
"Women, Sgaw Karen",sgaw karen women,1990,W
"Women, Bhotia",bhotia women,1990,W
Women in the Coptic Church,women in the coptic church,1990,W
Women silk industry workers,women silk industry workers,2000,W
Women sociologists,women sociologists,1990,W
Women anarchists,women anarchists,1990,W
Psychologically abused women,psychologically abused women,1990,W
Slavic American women,slavic american women,1990,W
Women tea plantation workers,women tea plantation workers,1990,W
"Women authors, Hindi",hindi women authors,1990,W
"Women authors, Russian",russian women authors,1990,W
Women primatologists,women primatologists,1990,W
"Women, Sambia",sambia women,1990,W
"Women, Baruya",baruya women,1990,W
Women's History Week,women 's history week,1990,W
Older gay men,older gay men,2004,M
Music by women composers,music by women composers,2005,W
"Women, Akha",akha women,1990,W
"Women authors, Assamese",assamese women authors,1990,W
Assertiveness in women,assertiveness in women,1991,W
"Women, Tonga (Zambezi)",tonga ( zambezi ) women,1991,W
Women criminal justice personnel,women criminal justice personnel,1991,W
National Women Veterans Recognition Week,national women veterans recognition week,1991,W
"Women, Bafokeng",bafokeng women,1991,W
"Women, Rajput",rajput women,1991,W
Women entomologists,women entomologists,1991,W
Women fashion designers,women fashion designers,1991,W
Women abolitionists,women abolitionists,1991,W
Women carcinologists,women carcinologists,1991,W
Women pediatricians,women pediatricians,1991,W
"Women authors, Commonwealth",commonwealth women authors,1991,W
Self-esteem in women,self esteem in women,1991,W
Women botanists,women botanists,1991,W
Women zoologists,women zoologists,1991,W
Women silversmiths,women silversmiths,2000,W
"Women, Viking",viking women,1991,W
Women alcoholics,women alcoholics,1991,W
Women with mental disabilities,women with mental disabilities,2001,W
Women shoe industry workers,women shoe industry workers,1991,W
"Women, Gond",gond women,1991,W
Women nutritionists,women nutritionists,2000,W
Women wood-engravers,women wood engravers,1991,W
"Women authors, Caribbean",caribbean women authors,1991,W
Women peasants,women peasants,1991,W
Women in the Reformed Church,women in the reformed church,1991,W
"Women poets, Caribbean",caribbean women poets,1991,W
Unemployed women workers,unemployed women workers,1991,W
"Women, Wolof",wolof women,1991,W
"Women authors, Dutch",dutch women authors,1991,W
"Masses (Men's voices), Unaccompanied",unaccompanied masses ( men 's voices ),1991,M
"Masses (Women's voices), Unaccompanied",unaccompanied masses ( women 's voices ),1991,W
Women cat owners,women cat owners,1991,W
"Women, Bambara",bambara women,1991,W
"Women, Gusii",gusii women,1991,W
"Women, Chamorro",chamorro women,1991,W
Women in synagogues,women in synagogues,1991,W
Women in the Methodist Church,women in the methodist church,1991,W
"Women authors, Iranian",iranian women authors,1991,W
"Women, Samoan",samoan women,1991,W
Women in the humanities,women in the humanities,1991,W
Women plant pathologists,women plant pathologists,1991,W
Portuguese American women,portuguese american women,1991,W
Women school principals,women school principals,1991,W
Women Biblical scholars,women biblical scholars,1991,W
Women park rangers,women park rangers,1991,W
"Women composers, Black",black women composers,1991,W
National Girls and Women in Sports Day,national girls and women in sports day,1991,W
Social work with men,social work with men,1991,M
"Women, Burmese",burmese women,1991,W
"Women, Shona",shona women,1991,W
Women's History Month,women 's history month,1991,W
Women medical technologists,women medical technologists,1991,W
Women human rights workers,women human rights workers,1991,W
"Women, Pushtun",pushtun women,1991,W
"Women, Mende",mende women,1991,W
Women rowers,women rowers,1992,W
Women brickmakers,women brickmakers,1992,W
Women coaches (Athletics),women coaches ( athletics ),1999,W
"Women's periodicals, Italian",italian women 's periodicals,1992,W
Women interior decorators,women interior decorators,1992,W
Male rape victims,male rape victims,1992,M
Male rape,male rape,1992,M
Women pipe fitters,women pipe fitters,1992,W
Women cytogeneticists,women cytogeneticists,1992,W
"Women poets, Russian",russian women poets,1992,W
Pregnancy in mentally ill women,pregnancy in mentally ill women,1992,W
Mentally ill women,mentally ill women,1992,W
Women optometrists,women optometrists,1992,W
"Women, Kurumba (India)",kurumba ( india ) women,1992,W
"Women, Kipsigis",kipsigis women,1992,W
Abused gay men,abused gay men,1992,M
Wild women,wild women,1992,W
"Women poets, Ukrainian",ukrainian women poets,1992,W
Women history teachers,women history teachers,1992,W
Women physical education teachers,women physical education teachers,1992,W
African American women clergy,african american women clergy,2000,W
Women adventurers,women adventurers,1992,W
Men's movement,men 's movement,1992,M
Women public officers,women public officers,1992,W
"Women, Gimi",gimi women,1992,W
Women rock musicians,women rock musicians,1992,W
"Women artists, Black",black women artists,1992,W
Women ex-convicts,women ex convicts,1992,W
Women translators,women translators,1992,W
Women fire fighters,women fire fighters,1992,W
Women labor leaders,women labor leaders,1992,W
"Women, Kucabandiyā",kucabandiyā women,1992,W
Women in Sikhism,women in sikhism,1992,W
Men's toiletries,men 's toiletries,2006,M
National Women in Agriculture Day,national women in agriculture day,1992,W
Women environmentalists,women environmentalists,1992,W
Women horse owners,women horse owners,1992,W
Women baseball players,women baseball players,1992,W
Women planners,women planners,1992,W
"Women, Medlpa",medlpa women,1992,W
Women editors,women editors,1992,W
Women real estate agents,women real estate agents,1992,W
Protestant women,protestant women,1992,W
Women test pilots,women test pilots,1992,W
"Women, Romani",romani women,2001,W
"Women, Tigrinya",tigrinya women,1992,W
"Women, Dorobo",dorobo women,1992,W
Poor men,poor men,1992,M
"Gay men's writings, Arabic",arabic gay men 's writings,1992,M
"Gay men's writings, German",german gay men 's writings,1992,M
"Gay men's writings, Greek",greek gay men 's writings,1992,M
"Gay men's writings, Latin (Medieval and modern)",latin ( medieval and modern ) gay men 's writings,1992,M
"Gay men's writings, Latin American",latin american gay men 's writings,1992,M
"Gay men's writings, Canadian",canadian gay men 's writings,1992,M
"Gay men's writings, French",french gay men 's writings,1992,M
"Gay men's writings, Italian",italian gay men 's writings,1992,M
"Gay men's writings, Dutch",dutch gay men 's writings,1992,M
Gay men's writings,gay men 's writings,1992,M
"Gay men's writings, American",american gay men 's writings,1992,M
"Gay men's writings, English",english gay men 's writings,1992,M
Women biologists,women biologists,1992,W
Women copy writers,women copy writers,1992,W
"Women poets, English",english women poets,1992,W
Women aerospace engineers,women aerospace engineers,1992,W
Women periodical editors,women periodical editors,1992,W
Women computer programmers,women computer programmers,1992,W
Women church historians,women church historians,1992,W
Hispanic American women artists,hispanic american women artists,1992,W
Minority women librarians,minority women librarians,1992,W
Helplessness (Psychology) in women,helplessness ( psychology ) in women,1992,W
African American women civil rights workers,african american women civil rights workers,2000,W
Women cabinet officers,women cabinet officers,1993,W
"Women, Bedouin",bedouin women,1993,W
Women in the cattle industry,women in the cattle industry,1993,W
Comfort women,comfort women,1993,W
Women's volunteer labor corps,women 's volunteer labor corps,1993,W
Women political scientists,women political scientists,1993,W
Women biographers,women biographers,1993,W
Male models,male models,1993,M
"Women, !Kung",kung women,1993,W
"Gay men's writings, Australian",australian gay men 's writings,1993,M
"Women, Mukkuvar",mukkuvar women,1993,W
Women radicals,women radicals,1993,W
Women newspaper editors,women newspaper editors,1993,W
"Women, Gouin",gouin women,1993,W
Women Jewish scholars,women jewish scholars,1993,W
Women presidents,women presidents,1993,W
Armenian American women,armenian american women,1993,W
Bisexual men,bisexual men,1993,M
Bisexual women,bisexual women,1993,W
African American women cooks,african american women cooks,2000,W
African American women mathematicians,african american women mathematicians,2000,W
Women in fundamentalist churches,women in fundamentalist churches,1993,W
Female genital mutilation,female genital mutilation,2003,W
"Women, Songhai",songhai women,1993,W
Women on postage stamps,women on postage stamps,1993,W
Women jazz singers,women jazz singers,1993,W
Gay men on postage stamps,gay men on postage stamps,1993,M
Heterosexual men,heterosexual men,1993,M
Heterosexual women,heterosexual women,1993,W
"Women poets, Brazilian",brazilian women poets,1993,W
Achievement motivation in women,achievement motivation in women,1993,W
Women electric industry workers,women electric industry workers,1993,W
"Women, Berawan",berawan women,1993,W
"Women poets, Irish",irish women poets,1993,W
"Women, Ganda",ganda women,1993,W
Women industrial engineers,women industrial engineers,1993,W
"Women, Munda",munda women,1993,W
Women cleaning personnel,women cleaning personnel,1993,W
"Women, Shawiya",shawiya women,1993,W
Women music critics,women music critics,1993,W
Women archaeology teachers,women archaeology teachers,2000,W
Women classicists,women classicists,1993,W
Women's bookstores,women 's bookstores,1993,W
Women's music,women 's music,1993,W
Women political consultants,women political consultants,1993,W
Male friendship,male friendship,1993,M
Women stunt performers,women stunt performers,1993,W
Male elementary school teachers,male elementary school teachers,1993,M
"Women's periodicals, Arabic",arabic women 's periodicals,1993,W
Self-perception in women,self perception in women,1993,W
Women in Tantric Buddhism,women in tantric buddhism,1993,W
"Women poets, Korean",korean women poets,1993,W
"Women's periodicals, Turkish",turkish women 's periodicals,1993,W
Women lingerie industry workers,women lingerie industry workers,1993,W
Women murderers in motion pictures,women murderers in motion pictures,1993,W
"Women authors, South Asian",south asian women authors,1993,W
Inuit women,inuit women,1993,W
Women radio writers,women radio writers,1993,W
Minority women artists,minority women artists,1993,W
Women gamblers,women gamblers,1993,W
Women ghostwriters,women ghostwriters,1993,W
Women libertarians,women libertarians,1993,W
"Women poets, Peruvian",peruvian women poets,1993,W
Male prostitutes,male prostitutes,1993,M
"Women, Nyaturu",nyaturu women,1993,W
"Women, Sami",sami women,1993,W
Women country musicians,women country musicians,1993,W
"Women painters, Ndebele",ndebele women painters,1993,W
Women intelligence officers,women intelligence officers,1993,W
Women (Byzantine law),women ( byzantine law ),1993,W
Women speechwriters,women speechwriters,1993,W
Women in astronomy,women in astronomy,1993,W
Isleta women,isleta women,1993,W
Klamath women,klamath women,1993,W
Kwakiutl women,kwakiutl women,1993,W
Laguna women,laguna women,1993,W
Malecite women,malecite women,1993,W
Maricopa women,maricopa women,1993,W
Métis women,métis women,1993,W
Mohawk women,mohawk women,1993,W
Mohave women,mohave women,1993,W
Montagnais women,montagnais women,1993,W
Navajo women,navajo women,1993,W
Nez Percé women,nez percé women,1993,W
Nuu-chah-nulth women,nuu chah nulth women,1993,W
Oglala women,oglala women,1993,W
Ojibwa women,ojibwa women,1993,W
Paiute women,paiute women,1993,W
Pima women,pima women,1993,W
Pueblo women,pueblo women,1993,W
Salishan women,salishan women,1993,W
Seminole women,seminole women,1993,W
Shoshoni women,shoshoni women,1993,W
Siksika women,siksika women,1993,W
Siouan women,siouan women,1993,W
Taos women,taos women,1993,W
Indian women,indian women,1993,W
Acoma women,acoma women,1993,W
Aleut women,aleut women,1993,W
Algonquian women,algonquian women,1993,W
Apache women,apache women,1993,W
Arikara women,arikara women,1993,W
Athapascan women,athapascan women,1993,W
Brulé women,brulé women,1993,W
Cahuilla women,cahuilla women,1993,W
Cherokee women,cherokee women,1993,W
Cheyenne women,cheyenne women,1993,W
Chilkat women,chilkat women,1993,W
Cree women,cree women,1993,W
Crow women,crow women,1993,W
Dakota women,dakota women,1993,W
Delaware women,delaware women,1993,W
Eskimo women,eskimo women,1993,W
Fox women,fox women,1993,W
Haida women,haida women,1993,W
Hopi women,hopi women,1993,W
Hupa women,hupa women,1993,W
Iroquois women,iroquois women,1993,W
Pomo women,pomo women,1993,W
Women parade float designers,women parade float designers,1993,W
Inca women,inca women,1993,W
Quechua women,quechua women,1993,W
Mapuche women,mapuche women,1993,W
Aymara women,aymara women,1993,W
Aztec women,aztec women,1993,W
Shawi women,shawi women,1993,W
Choco women,choco women,1993,W
Cuna women,cuna women,1993,W
Goajiro women,goajiro women,1993,W
Huave women,huave women,1993,W
Maya women,maya women,1993,W
Taino women,taino women,1993,W
Tewa women,tewa women,1993,W
Tlakluit women,tlakluit women,1993,W
Tlingit women,tlingit women,1993,W
Tohono O'odham women,tohono o 'odham women,2005,W
Twana women,twana women,1993,W
Washoe women,washoe women,1993,W
Wyandot women,wyandot women,1993,W
Yakama women,yakama women,2005,W
Yaqui women,yaqui women,1993,W
Yuma women,yuma women,1993,W
Yurok women,yurok women,1993,W
Zapotec women,zapotec women,1993,W
Chinook women,chinook women,1993,W
African American men in literature,african american men in literature,2000,M
African American women in literature,african american women in literature,2000,W
Older men in literature,older men in literature,2004,M
Older women in literature,older women in literature,2004,W
Ukrainian American women,ukrainian american women,1993,W
Women in the Mahābhārata,women in the mahābhārata,1993,W
Women screenwriters,women screenwriters,1993,W
"Women, Basque",basque women,1993,W
Women agricultural economists,women agricultural economists,1993,W
Women theatrical managers,women theatrical managers,2000,W
Women in nonprofit organizations,women in nonprofit organizations,1993,W
Mexican American women agricultural laborers,mexican american women agricultural laborers,1994,W
Women coffee growers,women coffee growers,1994,W
Women child molesters,women child molesters,1994,W
Coeur d'Alene women,coeur d 'alene women,1994,W
"Women, Ndebele",ndebele women,1994,W
Women sportswriters,women sportswriters,1994,W
"Women novelists, Japanese",japanese women novelists,1994,W
"Women novelists, Australian",australian women novelists,1994,W
"Women, Malay",malay women,1994,W
"Women, Tanala",tanala women,1994,W
"Women novelists, Argentine",argentine women novelists,1994,W
"Women novelists, French",french women novelists,1994,W
"Women novelists, German",german women novelists,1994,W
Hmong American women,hmong american women,1994,W
Women animators,women animators,1994,W
"Women's periodicals, Chinese",chinese women 's periodicals,1994,W
Cupeño women,cupeño women,1994,W
Munduruku women,munduruku women,1994,W
Wahpeton women,wahpeton women,1994,W
Church work with abusive men,church work with abusive men,1994,M
Male sexual abuse victims,male sexual abuse victims,1994,M
Women in housing management,women in housing management,1994,W
Women physical therapists,women physical therapists,2000,W
Women food service employees,women food service employees,2000,W
Women in the Episcopal Church,women in the episcopal church,1994,W
Women law teachers,women law teachers,1994,W
"Women's periodicals, Faroese",faroese women 's periodicals,1994,W
African American women in the professions,african american women in the professions,2000,W
Women pacifists,women pacifists,1994,W
African American women law teachers,african american women law teachers,2000,W
"Women, Tuareg",tuareg women,1994,W
Vietnamese American women,vietnamese american women,1994,W
Women lighthouse keepers,women lighthouse keepers,1994,W
Quiché women,quiché women,1994,W
African American women novelists,african american women novelists,2000,W
Chinese American women in literature,chinese american women in literature,1994,W
African American women social reformers,african american women social reformers,2001,W
Women benefactors,women benefactors,1994,W
Men in the Bible,men in the bible,1994,M
"Women, Diola",diola women,1994,W
Hispanic American women in literature,hispanic american women in literature,1994,W
"Women, Bemba",bemba women,1994,W
"Women poets, Italian",italian women poets,1994,W
Overweight men,overweight men,1994,M
Women ambassadors,women ambassadors,1994,W
Male employees,male employees,1994,M
Women church officers,women church officers,1994,W
Women analysands,women analysands,1994,W
Tzotzil women,tzotzil women,1994,W
"Women authors, Mexican",mexican women authors,1994,W
Women employees,women employees,1994,W
Museums and women,museums and women,1994,W
Dena'ina women,dena 'ina women,1994,W
Puerto Rican young men,puerto rican young men,2000,M
African American young men,african american young men,2000,M
Women horticultural writers,women horticultural writers,1994,W
Women and democracy,women and democracy,1994,W
Hockey for women,hockey for women,1994,W
Married women in literature,married women in literature,1994,W
Women ichthyologists,women ichthyologists,1994,W
National Men's Health Week,national men 's health week,1994,M
"Women authors, Argentine",argentine women authors,1994,W
Amish women,amish women,1994,W
Mexican American women in literature,mexican american women in literature,1994,W
Middle class men in literature,middle class men in literature,1994,M
Minority women in literature,minority women in literature,1994,W
"Vietnam Women's Memorial (Washington, D.C.)",d c ) vietnam women 's memorial ( washington,2006,W
Women historians of science,women historians of science,1994,W
Women historians of technology,women historians of technology,1994,W
Women medical historians,women medical historians,1994,W
German American women,german american women,1994,W
Women with disabilities in literature,women with disabilities in literature,2001,W
"Women, Torres Strait Islander",torres strait islander women,1994,W
"Women social workers, Black",black women social workers,1994,W
"Women college teachers, Black",black women college teachers,1994,W
Swedish American women entertainers,swedish american women entertainers,1994,W
Powhatan women,powhatan women,1994,W
Cosmetics for men,cosmetics for men,1994,M
Women curriculum consultants,women curriculum consultants,1994,W
Women library trustees,women library trustees,1994,W
African American women in motion pictures,african american women in motion pictures,2000,W
Rural women in literature,rural women in literature,1994,W
African American women journalists,african american women journalists,2000,W
Discrimination against overweight women,discrimination against overweight women,1994,W
"Women, White, in literature",white women in literature,2004,W
"Women, Aboriginal Australian, in literature",aboriginal australian women in literature,2003,W
"Women, Black, in literature",black women in literature,1994,W
Women artists in literature,women artists in literature,1994,W
Women authors in literature,women authors in literature,1994,W
Women detectives in literature,women detectives in literature,1994,W
Women healers in literature,women healers in literature,1994,W
Women intellectuals in literature,women intellectuals in literature,1994,W
Women murderers in literature,women murderers in literature,1994,W
Women pioneers in literature,women pioneers in literature,1994,W
Women prisoners in literature,women prisoners in literature,1994,W
Women soldiers in literature,women soldiers in literature,1994,W
Women spies in literature,women spies in literature,1994,W
Women travelers in literature,women travelers in literature,1994,W
Women's rights in literature,women 's rights in literature,1994,W
Working class women in literature,working class women in literature,1994,W
Young men in literature,young men in literature,1994,M
"Women, Sotho",sotho women,1994,W
Remittance men,remittance men,1994,M
African American women abolitionists,african american women abolitionists,2000,W
"Women, Harari",harari women,1994,W
"Women authors, Latin American",latin american women authors,1994,W
Male college students,male college students,1995,M
Abused men,abused men,1995,M
"Women authors, Chilean",chilean women authors,1995,W
Sexual ethics for women,sexual ethics for women,1995,W
Women deans (Education),women deans ( education ),1995,W
African American women astronauts,african american women astronauts,2000,W
Women helicopter pilots,women helicopter pilots,2000,W
Women shepherds,women shepherds,1995,W
Women in insurance,women in insurance,1995,W
Women in Latter Day Saint sacred books,women in latter day saint sacred books,1995,W
African American women pioneers,african american women pioneers,2001,W
Women governors,women governors,2000,W
Women marine engineers,women marine engineers,1995,W
"Women, Tayal",tayal women,1995,W
"Women, Yombe (Congo and Angola)",yombe ( congo and angola ) women,2004,W
Mexican American women healers,mexican american women healers,1995,W
Female condoms,female condoms,1995,W
HIV-positive women,hiv positive women,1995,W
Women in botany,women in botany,1995,W
South Asian American women,south asian american women,1995,W
"Women, Nubian",nubian women,1995,W
Women social reformers on postage stamps,women social reformers on postage stamps,1995,W
"Women dramatists, Argentine",argentine women dramatists,1995,W
"Women dramatists, Spanish",spanish women dramatists,1995,W
Older Mexican American women,older mexican american women,2004,W
Women prophets,women prophets,1995,W
Women cantors (Judaism),women cantors ( judaism ),1995,W
Stress management for women,stress management for women,1995,W
African American women health reformers,african american women health reformers,2000,W
Women health reformers,women health reformers,1995,W
"Women poets, German",german women poets,1995,W
"Women poets, Gujarati",gujarati women poets,1995,W
"Women poets, Urdu",urdu women poets,1995,W
"Women poets, Dominican",dominican women poets,1995,W
"Women authors, Vietnamese",vietnamese women authors,1995,W
"Women authors, Scottish",scottish women authors,1995,W
"Women authors, Indic",indic women authors,1995,W
Gay men in literature,gay men in literature,1995,M
African American women legislators,african american women legislators,2000,W
Women printmakers,women printmakers,1995,W
Indian women artists,indian women artists,1995,W
Jaina women saints,jaina women saints,1995,W
Women and philology,women and philology,1995,W
"Women authors, Irish",irish women authors,1995,W
Women medalists,women medalists,1995,W
Women on bank notes,women on bank notes,1995,W
"Women authors, Greek",greek women authors,1995,W
Sexual harassment of men,sexual harassment of men,1995,M
Abusive women,abusive women,2000,W
Women landowners,women landowners,1995,W
Mentally ill women in literature,mentally ill women in literature,1995,W
National socialism and women,national socialism and women,1995,W
"Women, Haya",haya women,1995,W
International Women's Day,international women 's day,1995,W
Shuar women,shuar women,1995,W
Achuar women,achuar women,1995,W
Women library administrators,women library administrators,1995,W
Navajo women shepherds,navajo women shepherds,1995,W
Navajo women weavers,navajo women weavers,1995,W
Women weavers,women weavers,1995,W
"Women, Nyishangba",nyishangba women,1995,W
"Women, Yuin",yuin women,1995,W
Women engineering students,women engineering students,1995,W
Women library employees,women library employees,1995,W
Women science students,women science students,1995,W
African American women air pilots,african american women air pilots,2000,W
Women botanizers,women botanizers,1995,W
Women pathologists,women pathologists,1995,W
"Women authors, Galician",galician women authors,1995,W
"Women, Builsa",builsa women,1995,W
Women life scientists,women life scientists,1995,W
"Women novelists, Southeast Asian",southeast asian women novelists,1995,W
Minority women lawyers,minority women lawyers,1995,W
Women physician executives,women physician executives,1995,W
Male dramatists,male dramatists,1995,M
Women school superintendents,women school superintendents,1995,W
"Women, Serer",serer women,1995,W
Women bacteriologists,women bacteriologists,1995,W
Women microbiologists,women microbiologists,1995,W
"Women, Pygmy",pygmy women,1995,W
Women physical scientists,women physical scientists,1995,W
African American women physicists,african american women physicists,2000,W
African American women physical scientists,african american women physical scientists,2000,W
African American women scientists,african american women scientists,2000,W
Women agricultural students,women agricultural students,1995,W
Women earth scientists,women earth scientists,1995,W
Asian American women artists,asian american women artists,1995,W
Hindu women saints,hindu women saints,1995,W
"Women, Marakwet",marakwet women,1995,W
Libraries and abused women,libraries and abused women,2001,W
Women bluegrass musicians,women bluegrass musicians,1995,W
Women fiddlers,women fiddlers,1995,W
Indian women authors,indian women authors,1995,W
Women and death,women and death,1995,W
Women hop pickers,women hop pickers,1995,W
"Women, Bobo Dioula",bobo dioula women,1995,W
Cooperativeness in women,cooperativeness in women,1995,W
Etiquette for gay men,etiquette for gay men,1995,M
Women serial murderers,women serial murderers,1995,W
Leadership in women,leadership in women,1995,W
"Women, Tangkhul",tangkhul women,1995,W
Exercise for pregnant women,exercise for pregnant women,2006,W
Men on television,men on television,1996,M
Women in flamenco music,women in flamenco music,1996,W
Women flamenco musicians,women flamenco musicians,1996,W
Women brewery workers,women brewery workers,1996,W
"Gay men's writings, Japanese",japanese gay men 's writings,1996,M
"Women authors, Egyptian",egyptian women authors,1996,W
"Women, Asu",asu women,1996,W
Women glass artists,women glass artists,1996,W
Women fishing guides,women fishing guides,1996,W
Women physical anthropologists,women physical anthropologists,1996,W
African American women healers,african american women healers,2000,W
African American women political activists,african american women political activists,2000,W
Filipino American women,filipino american women,1996,W
"Women, Chewa",chewa women,1996,W
Penobscot women,penobscot women,1996,W
Korean American women journalists,korean american women journalists,1996,W
Inuit women artists,inuit women artists,1996,W
Women attorneys general,women attorneys general,1996,W
Men's magazines,men 's magazines,1996,M
Zoque women,zoque women,1996,W
Self-perception in men,self perception in men,1996,M
"Women, Bijago",bijago women,1996,W
Women water utility employees,women water utility employees,1996,W
Women heroes,women heroes,1996,W
"Women, Warlpiri",warlpiri women,1996,W
"Women, Gamo",gamo women,1996,W
Women Egyptologists,women egyptologists,2005,W
Women area specialists,women area specialists,1996,W
Women specialists,women specialists,1996,W
Women ethnologists,women ethnologists,1996,W
Hispanic American women in the professions,hispanic american women in the professions,2000,W
Female friendship,female friendship,1996,W
Cuban American women legislators,cuban american women legislators,1996,W
Women paleontologists,women paleontologists,1996,W
Women marine biologists,women marine biologists,1996,W
Women aquatic biologists,women aquatic biologists,1996,W
Women aquatic scientists,women aquatic scientists,1996,W
Yankton women,yankton women,1996,W
Men's choral societies,men 's choral societies,1996,M
"Gay men's writings, Brazilian",brazilian gay men 's writings,1996,M
Japanese American men,japanese american men,1996,M
Shooting for women,shooting for women,1996,W
"Gay men's writings, Russian",russian gay men 's writings,1996,M
"Women poets, French",french women poets,1996,W
Guarani women,guarani women,1996,W
Deaf men,deaf men,2001,M
"Women, Mbuti",mbuti women,1996,W
Women rabbis,women rabbis,2000,W
Filipino American women artists,filipino american women artists,1996,W
"Women's periodicals, Russian",russian women 's periodicals,1996,W
Women blues musicians,women blues musicians,1996,W
Filipino American women authors,filipino american women authors,1996,W
Moravian women,moravian women,1996,W
Women insurance executives,women insurance executives,1996,W
Chiapanec women,chiapanec women,1996,W
"Women, Khmu'",khmu ' women,1996,W
"Women, Senufo",senufo women,1996,W
"Women, Minianka",minianka women,1996,W
Female nude in art,female nude in art,1996,W
Women art collectors,women art collectors,1996,W
Women collectors,women collectors,1996,W
Women in forestry,women in forestry,1996,W
Asian American women in literature,asian american women in literature,1996,W
Women art students,women art students,1996,W
Women brewers,women brewers,1996,W
Pomo women weavers,pomo women weavers,1996,W
Men with disabilities,men with disabilities,2001,M
African American women motion picture producers and directors,african american women motion picture producers and directors,2000,W
Women gymnasts,women gymnasts,1996,W
Mexican American women singers,mexican american women singers,1996,W
Women stockbrokers,women stockbrokers,1996,W
Women hunters,women hunters,1996,W
Seneca women,seneca women,1996,W
Women cinematographers,women cinematographers,2000,W
Women circus performers,women circus performers,1996,W
Women fencers,women fencers,1996,W
Women surfers,women surfers,1996,W
"Women, Tairora",tairora women,1996,W
Women speed skaters,women speed skaters,1996,W
Young women in literature,young women in literature,1996,W
Women employees in literature,women employees in literature,1996,W
"Women, Enga",enga women,1996,W
Women tramps,women tramps,1996,W
Indian women healers,indian women healers,1996,W
Women politicians,women politicians,2003,W
Men's mass media,men 's mass media,2006,M
"Women's periodicals, Austrian",austrian women 's periodicals,1996,W
African American women screenwriters,african american women screenwriters,2000,W
African American women school principals,african american women school principals,2000,W
Mexican American women college teachers,mexican american women college teachers,1996,W
Older Dakota women,older dakota women,2004,W
African American women college teachers,african american women college teachers,2000,W
African American women college administrators,african american women college administrators,2000,W
